address,imageUrls/0,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,phoneUnformatted,searchPageLoadedUrl,searchPageUrl
"627 Sangmu-daero, Mareuk-dong, Seo-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipM2JeehWNLJmFWHcsa9uHdjPlT3LEsW7nmmkCoM=w1920-h1080-k-no,35.140696,126.833498,Monday,10?AM to 9?PM,Tuesday,10?AM to 9?PM,Wednesday,10?AM to 9?PM,Thursday,10?AM to 9?PM,Friday,10?AM to 9?PM,Saturday,10?AM to 9?PM,Sunday,10?AM to 9?PM,+82 62-384-5100,82623845100,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"23 Geumnamno 1(il)-ga, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipN4h_BoiOgFoZ1HfVxzOlAs6kM7y3LWUGDl_2oz=w1920-h1080-k-no,35.1479645,126.9185118,,,,,,,,,,,,,,,+82 62-222-8980,82622228980,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"1218-1 Chipyeong-dong, Seo-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipOYQSyZm7NVVLPn65Q8bIt2Svf2TtTba20pTDsA=w1920-h1080-k-no,35.1542404,126.851018,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,+82 62-384-2100,82623842100,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"South Korea, Gwangju, Seo-gu, Sangmu-daero, 773 106 ?",https://lh5.googleusercontent.com/p/AF1QipMaHhIBR5TqEmfVmrA0Ns59GB5rgQbRcmlwWOGP=w1920-h1080-k-no,35.1461518,126.8467644,Monday,11:30?AM to 9:30?PM,Tuesday,11:30?AM to 9:30?PM,Wednesday,11:30?AM to 9:30?PM,Thursday,11:30?AM to 9:30?PM,Friday,11:30?AM to 9:30?PM,Saturday,11:30?AM to 9:30?PM,Sunday,11:30?AM to 9:30?PM,+82 62-370-9000,82623709000,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"1092 Suwan-dong, Gwangsan-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipNy8UW6weYEGgzFarKq0oo9DVcA0WNQ5v-Gz79_=w1920-h1080-k-no,35.1915971,126.8255292,Monday,10:30?AM to 8:30?PM,Tuesday,10:30?AM to 8:30?PM,Wednesday,10:30?AM to 8:30?PM,Thursday,10:30?AM to 8:30?PM,Friday,10:30?AM to 8:30?PM,Saturday,10?AM to 9?PM,Sunday,10?AM to 9?PM,+82 62-962-0888,82629620888,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"400-4 Hagun-dong, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipNGxJh1WSMHa95dZNOHrDBzuvjuAx07jNaK1CEv=w1920-h1080-k-no,35.1338039,126.955747,,,,,,,,,,,,,,,,,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"??? ??, South Korea",https://lh5.googleusercontent.com/p/AF1QipOnOhu_YOYGp2y83v_AwGFFt1Eeuqpi74fj-4NE=w1920-h1080-k-no,35.161986,126.8820852,Monday,8?AM to 11?PM,Tuesday,8?AM to 11?PM,Wednesday,8?AM to 11?PM,Thursday,8?AM to 11?PM,Friday,8?AM to 11?PM,Saturday,8?AM to 11?PM,Sunday,8?AM to 11?PM,+82 1688-7540,8216887540,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"26 Chungjangno 2(i)-ga, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipOCnSvl_kFFQdiGjRrO4bLdHNpJiBYKnqBobATm=w1920-h1080-k-no,35.14827,126.9159565,Monday,10?AM to 9?PM,Tuesday,10?AM to 9?PM,Wednesday,10?AM to 9?PM,Thursday,10?AM to 9?PM,Friday,10?AM to 9?PM,Saturday,10?AM to 9?PM,Sunday,10?AM to 9?PM,+82 62-234-0280,82622340280,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"12-7 Geumnamno 1(il)-ga, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipM4Fi4bqoCwEEXv6PuQfQItf3nyfOSja2jfwIOR=w1920-h1080-k-no,35.1478375,126.9188506,Monday,10?AM to 8?PM,Tuesday,10?AM to 8?PM,Wednesday,10?AM to 8?PM,Thursday,10?AM to 8?PM,Friday,10?AM to 8?PM,Saturday,10?AM to 8?PM,Sunday,10?AM to 8?PM,+82 62-224-0591,82622240591,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"163 Jungang-ro, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipMx2ouGir3XmH7EWqmtCSVnFzcWfZ480Z-ZwX8c=w1920-h1080-k-no,35.1486399,126.9133111,Monday,10:30?AM to 9?PM,Tuesday,10:30?AM to 9?PM,Wednesday,10:30?AM to 9?PM,Thursday,10:30?AM to 9?PM,Friday,10:30?AM to 9?PM,Saturday,10:30?AM to 9?PM,Sunday,10:30?AM to 9?PM,+82 62-718-9300,82627189300,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"82-2?? Yangnim-dong, Nam-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipPZxcUwGLDuSYilmfzcSTnXfLnSUSu3eSHmOoH1=w1920-h1080-k-no,35.1373291,126.917443,,,,,,,,,,,,,,,+82 62-653-4089,82626534089,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"Yang-dong, Seo-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipP-n5OVM0dI6q_i3z0o4g-5XLUG_Xs60Fy_T6Bh=w1920-h1080-k-no,35.1538613,126.9021342,,,,,,,,,,,,,,,,,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"258-21 Songjeong-dong, Gwangsan-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipNbrA1vnAErULpvW6WhWIZ3SzlwvhCrycC8IcH1=w1920-h1080-k-no,35.1366706,126.7986259,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,,,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"98 Jangsin-ro, Suwan-dong, Gwangsan-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipNS56LcUKU0fZnIEc8127xwkCp2NepHNKnwmLAU=w1920-h1080-k-no,35.1903446,126.8196813,Monday,11?AM to 9?PM,Tuesday,11?AM to 9?PM,Wednesday,11?AM to 9?PM,Thursday,11?AM to 9?PM,Friday,11?AM to 9?PM,Saturday,11?AM to 10?PM,Sunday,11?AM to 10?PM,,,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"29 Chungjang-dong, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipNxt-fSppUjCRW9b_VxkAEU-Bnax_WoqdxMQh5l=w1920-h1080-k-no,35.1492297,126.91679,Monday,10?AM to 8?PM,Tuesday,10?AM to 8?PM,Wednesday,10?AM to 8?PM,Thursday,10?AM to 8?PM,Friday,10?AM to 8?PM,Saturday,10?AM to 8?PM,Sunday,10:30?AM to 8:30?PM,,,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"324-7 ??2? Buk-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipMiTPhF0hU73amAVJvOEljOldrtgGJHe7XdNyEu=w1920-h1080-k-no,35.1682933,126.906213,Monday,7?AM to 11?PM,Tuesday,7?AM to 11?PM,Wednesday,7?AM to 11?PM,Thursday,7?AM to 11?PM,Friday,7?AM to 11?PM,Saturday,7?AM to 11?PM,Sunday,7?AM to 11?PM,+82 80-719-1088,82807191088,"https://www.google.com/maps/search/shopping+mall/@35.1697882,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.16978817797562,126.98814905992816,15z?hl=en"
"25 Dongnip-ro 264beon-gil, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipOUyGO_qPsRQELSm-LFflFuyzGDsQQ37ma4AegN=w1920-h1080-k-no,35.1535022,126.9136491,Monday,9:30?AM to 8:30?PM,Tuesday,9:30?AM to 8:30?PM,Wednesday,9:30?AM to 8:30?PM,Thursday,9:30?AM to 8:30?PM,Friday,9:30?AM to 8:30?PM,Saturday,9:30?AM to 7?PM,Sunday,Closed,+82 62-223-4644,82622234644,"https://www.google.com/maps/search/shopping+mall/@35.1697882,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.16978817797562,126.98814905992816,15z?hl=en"
"12 Dongnip-ro 264beon-gil, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipO4uCJ4mly_ZU6d_hIacksOKUkUrqSZQ0Nwr8WA=w1920-h1080-k-no,35.1538101,126.9122101,Monday,10:30?AM to 8?PM,Tuesday,10:30?AM to 8?PM,Wednesday,10:30?AM to 8?PM,Thursday,10:30?AM to 8?PM,Friday,10:30?AM to 8?PM,Saturday,10:30?AM to 8?PM,Sunday,10:30?AM to 8?PM,+82 62-225-7116,82622257116,"https://www.google.com/maps/search/shopping+mall/@35.1697882,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.16978817797562,126.98814905992816,15z?hl=en"
"115-4 Hwanggeum-dong, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipMMPKm1Qbx-dfXQroqDbXzOQ2sSp6yu3M3t6t_b=w1920-h1080-k-no,35.1479089,126.9136789,,,,,,,,,,,,,,,+82 62-224-2313,82622242313,"https://www.google.com/maps/search/shopping+mall/@35.1697882,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.16978817797562,126.98814905992816,15z?hl=en"
"386-2 Gyerim-dong, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipMUnXFyGCt6sk2-QvZuDtPnPNvo8fB6c5w-XQVY=w1920-h1080-k-no,35.153613,126.9193924,,,,,,,,,,,,,,,+82 62-234-8613,82622348613,"https://www.google.com/maps/search/shopping+mall/@35.1697882,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.16978817797562,126.98814905992816,15z?hl=en"
"352-1 Seonam-dong, Gwangsan-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipPbBE6dqqwkLKb8JrZ3_XchDeZgfnM8zPEvWTxs=w1920-h1080-k-no,35.151758,126.7730427,Monday,8:30?AM to 7?PM,Tuesday,8:30?AM to 7?PM,Wednesday,8:30?AM to 7?PM,Thursday,8:30?AM to 7?PM,Friday,8:30?AM to 7?PM,Saturday,8:30?AM to 7?PM,Sunday,Closed,+82 62-943-9492,82629439492,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.6795959,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.6795959400719,15z?hl=en"
"183-9 Mareuk-dong, Seo-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipMk-9oHy4lIjw7VNQX9Xbx6ZEKNaNH3r9fkNwy0=w1920-h1080-k-no,35.1407695,126.8337978,Monday,10?AM to 9?PM,Tuesday,10?AM to 9?PM,Wednesday,10?AM to 9?PM,Thursday,10?AM to 9?PM,Friday,10?AM to 9?PM,Saturday,10?AM to 9?PM,Sunday,10?AM to 9?PM,+82 62-374-7905,82623747905,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.6795959,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.6795959400719,15z?hl=en"
"Sanjeong-dong, Gwangsan-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipNwcvAme2cIedepHdZjEbGBda0oMG2bT-_BmwSZ=w1920-h1080-k-no,35.1534343,126.810883,Monday,10:30?AM to 9?PM,Tuesday,10:30?AM to 9?PM,Wednesday,10:30?AM to 9?PM,Thursday,10:30?AM to 9?PM,Friday,10:30?AM to 9?PM,Saturday,10:30?AM to 9?PM,Sunday,10:30?AM to 9?PM,,,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.6795959,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.6795959400719,15z?hl=en"
"355-1 Unsu-dong, Gwangsan-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipMYy0oPC-U8v0zFiz-d0fwUNxvOI980K_yA9-MN=w1920-h1080-k-no,35.1491172,126.7769958,Monday,10?AM to 8:30?PM,Tuesday,10?AM to 8:30?PM,Wednesday,10?AM to 8:30?PM,Thursday,10?AM to 8:30?PM,Friday,10?AM to 8:30?PM,Saturday,10?AM to 8:30?PM,Sunday,10?AM to 8:30?PM,+82 62-945-9692,82629459692,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.6795959,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.6795959400719,15z?hl=en"
"South Korea, Gwangju, Dong-gu, Chungjangno 2(i)-ga, 18",https://lh5.googleusercontent.com/p/AF1QipOlbgSXI00W1hmvJY-GRfggLRdp9SfiOO9Wz-hZ=w1920-h1080-k-no,35.1477145,126.9166231,Monday,10:30?AM to 9?PM,Tuesday,10:30?AM to 9?PM,Wednesday,10:30?AM to 9?PM,Thursday,10:30?AM to 9?PM,Friday,10:30?AM to 9?PM,Saturday,10:30?AM to 9?PM,Sunday,10:30?AM to 9?PM,+82 62-410-1000,82624101000,"https://www.google.com/maps/search/shopping+mall/@35.1697882,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.16978817797562,126.98814905992816,15z?hl=en"
"1597-1 ??? Gwangsan-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipPFIA9hBZGdbBtezJZNJ4JUpbUsPNSNpC5LIGGh=w1920-h1080-k-no,35.1599057,126.8096607,Monday,10?AM to 9?PM,Tuesday,10?AM to 9?PM,Wednesday,10?AM to 9?PM,Thursday,10?AM to 9?PM,Friday,10?AM to 9?PM,Saturday,10?AM to 9?PM,Sunday,10?AM to 9?PM,,,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.6795959,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.6795959400719,15z?hl=en"
"239-16 Sinan-dong, Buk-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipO9zFRHDubFsiSZrIgVxkUJOjJRwXrHXJTX2F0u=w1920-h1080-k-no,35.1677891,126.9032604,,,,,,,,,,,,,,,+82 10-8947-6566,8.21E+11,"https://www.google.com/maps/search/shopping+mall/@35.1697882,126.9195817,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.16978817797562,126.9195816999601,15z?hl=en"
"193 Gyeongyang-ro, Buk-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipPr6IboniN21VBmG3eFIdQuIxnNBqplvh_rsafN=w1920-h1080-k-no,35.1596432,126.9127717,Monday,9:30?AM to 6:30?PM,Tuesday,9:30?AM to 6:30?PM,Wednesday,9:30?AM to 6:30?PM,Thursday,9:30?AM to 6:30?PM,Friday,9:30?AM to 6:30?PM,Saturday,Closed,Sunday,Closed,+82 70-4111-0098,8.27E+11,"https://www.google.com/maps/search/shopping+mall/@35.1697882,126.9195817,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.16978817797562,126.9195816999601,15z?hl=en"
"952-52 Maewol-dong, Seo-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipPyq2ETlJ5EgNQSjjWTD2cyFHUI1OsMCO7h6Qm5=w1920-h1080-k-no,35.1145227,126.8585851,,,,,,,,,,,,,,,+82 62-651-8828,82626518828,"https://www.google.com/maps/search/shopping+mall/@35.0855918,126.8167307,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.08559181012187,126.81673066000802,15z?hl=en"
"South Korea, Gwangju, Buk-gu, ??? 161-54 2?",https://lh5.googleusercontent.com/p/AF1QipPMFGBLa2xg9CAOEUFcco-cStAZTmaNSFnXMgzg=w1920-h1080-k-no,35.1752514,126.9127838,Monday,10?AM to 8:30?PM,Tuesday,10?AM to 8:30?PM,Wednesday,10?AM to 8:30?PM,Thursday,10?AM to 8:30?PM,Friday,10?AM to 8:30?PM,Saturday,10?AM to 8:30?PM,Sunday,10?AM to 8:30?PM,+82 62-521-5055,82625215055,"https://www.google.com/maps/search/shopping+mall/@35.1697882,126.9195817,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.16978817797562,126.9195816999601,15z?hl=en"
"2-1 Donggok-ro 35beon-gil, Gwangsan-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipN4eiYwCqOlCIJYCSYFi4NrLlVpFhoIwsR4TDci=w1920-h1080-k-no,35.0870378,126.7720834,,,,,,,,,,,,,,,+82 1577-7949,8215777949,"https://www.google.com/maps/search/shopping+mall/@35.0855918,126.8167307,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.08559181012187,126.81673066000802,15z?hl=en"
"409-12 Jiseok-dong, Nam-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipP5SwNBNiwHI94YVsWKPdS1X6vioHVZHBueaF_O=w1920-h1080-k-no,35.0807211,126.8332438,Monday,7?AM to 10?PM,Tuesday,7?AM to 10?PM,Wednesday,7?AM to 10?PM,Thursday,7?AM to 10?PM,Friday,7?AM to 10?PM,Saturday,7?AM to 10?PM,Sunday,Closed,+82 62-374-6021,82623746021,"https://www.google.com/maps/search/shopping+mall/@35.0855918,126.8167307,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.08559181012187,126.81673066000802,15z?hl=en"
